"Customer was redirected to Liqpay.","The customer was redirected to Liqpay."
"Liqpay amount validation failed.","Liqpay amount validation failed."
"Payment failed","Payment failed"
"Payment is being validated by Liqpay","Payment is being validated by Liqpay"
"Payment accepted","Payment accepted"
"Payment failed - unknown status returned","Payment failed - unknown status returned"
"Payment will be processed by Liqpay (liqpay.com)","Payment will be processed by Liqpay (liqpay.com)"
"You will be redirected to Liqpay in a few seconds. If not please click on the redirect button.","You will be redirected to Liqpay in a few seconds. If not please click on the redirect button."
"Redirect","Redirect"
"Currency is not supported by Liqpay","Currency is not supported by Liqpay"
"Create Invoice","Create Invoice"
"Order cash payment expired. Current expiration time is %s hours.","Order cash payment expired. Current expiration time is %s hours."